tweet_id,image_numero,stance_target,stance_label
962793701029371907,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
950875685593190400,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
957286358539644929,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
970285896833650694,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
943872501679083521,0,Merger and acquisition between Disney and 21st Century Fox.,Support
928083590692458498,0,Merger and acquisition between Disney and 21st Century Fox.,Support
896830861777276929,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
941472901479436290,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
942220825050144768,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
941844450250231808,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
941438611743838208,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
974783785203093504,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
938108586521178112,0,Merger and acquisition between Disney and 21st Century Fox.,Support
927679660091166725,0,Merger and acquisition between Disney and 21st Century Fox.,Support
927679660091166725,1,Merger and acquisition between Disney and 21st Century Fox.,Support
938520284361035776,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
931889814655389697,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
944360417350111232,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
931319748268138496,0,Merger and acquisition between Disney and 21st Century Fox.,Refute
937069459319283713,0,Merger and acquisition between Disney and 21st Century Fox.,Support
943021056201297920,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
943021056201297920,1,Merger and acquisition between Disney and 21st Century Fox.,Comment
929601109144035333,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
942464787350458374,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
977713484149481472,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
884442546973310977,0,Merger and acquisition between Disney and 21st Century Fox.,Unrelated
935681910789083137,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
938094509665107969,0,Merger and acquisition between Disney and 21st Century Fox.,Comment
