tweet_id,image_numero,stance_target,stance_label
1649152365688156187,0,Taiwan of China,Support
1644337447063388163,0,Taiwan of China,Support
1504409050137903106,2,Taiwan of China,Support
1578343719954046976,0,Taiwan of China,Support
1527093150325481473,0,Taiwan of China,Support
1635475759585460224,1,Taiwan of China,Support
1578181813897494530,0,Taiwan of China,Neutral
1651865922544750592,1,Taiwan of China,Support
1554809203126140928,1,Taiwan of China,Support
1646350228575109121,0,Taiwan of China,Support
1532228991670788096,1,Taiwan of China,Support
1616080539118624768,0,Taiwan of China,Neutral
1572091051493699584,0,Taiwan of China,Support
1650350228766334977,0,Taiwan of China,Support
1659477793040678912,2,Taiwan of China,Support
1660490211942621185,3,Taiwan of China,Support
1644337447063388163,1,Taiwan of China,Support
1499865737401446401,0,Taiwan of China,Oppose
1589955664524476416,1,Taiwan of China,Support
1601426748112920576,1,Taiwan of China,Support
1661366312679997440,0,Taiwan of China,Support
1554457625336524800,0,Taiwan of China,Support
1648505033171009540,1,Taiwan of China,Support
1629058567687774208,0,Taiwan of China,Support
1534863712800194562,2,Taiwan of China,Neutral
1545413200061005830,0,Taiwan of China,Support
1569978397434204166,0,Taiwan of China,Support
1660490211942621185,1,Taiwan of China,Support
1578343719954046976,2,Taiwan of China,Support
1636600890957393921,1,Taiwan of China,Support
1569857809642303489,3,Taiwan of China,Support
1655352863068135425,0,Taiwan of China,Oppose
1579354931248910337,1,Taiwan of China,Support
1517149495884382208,1,Taiwan of China,Support
1522922227087581184,2,Taiwan of China,Support
1522922227087581184,1,Taiwan of China,Support
1663933851385700352,0,Taiwan of China,Support
1522922227087581184,0,Taiwan of China,Support
1555142617838792705,0,Taiwan of China,Oppose
1558297799933976579,0,Taiwan of China,Support
1596126707299205121,0,Taiwan of China,Support
1555900523232260096,1,Taiwan of China,Support
1584422817940254720,0,Taiwan of China,Support
1660464477152870400,1,Taiwan of China,Support
1658480667171381250,0,Taiwan of China,Support
1491620330237939715,0,Taiwan of China,Neutral
1605345851362217984,2,Taiwan of China,Support
1531412161826029570,1,Taiwan of China,Support
1615743259934076928,0,Taiwan of China,Support
1643996416019255297,2,Taiwan of China,Support
1642285714321858561,0,Taiwan of China,Support
1569857809642303489,1,Taiwan of China,Support
1633015373598523392,0,Taiwan of China,Oppose
